Entity,Code,Year,Coal per capita (kWh),Oil per capita (kWh),Gas per capita (kWh)
Africa,,1965,1006.3736,1064.3536,29.777592
Africa,,1966,980.1728,1123.739,32.45205
Africa,,1967,976.7317,1091.7719,31.268766
Africa,,1968,990.00665,1125.0367,30.886887
Africa,,1969,973.52277,1118.1862,35.162052
Africa,,1970,987.1568,1190.3859,42.546124
Africa,,1971,1021.13116,1264.5233,49.06941
Africa,,1972,998.12964,1326.809,64.09115
Africa,,1973,1034.6595,1391.1606,100.0773
Africa,,1974,1048.2109,1403.0577,109.63275
Africa,,1975,1080.2848,1431.352,128.45763
Africa,,1976,1119.8884,1519.1476,141.95807
Africa,,1977,1113.191,1573.9017,154.48024
Africa,,1978,1051.3849,1611.4974,214.25261
Africa,,1979,1083.9161,1647.8928,318.05634
Africa,,1980,1128.7816,1699.0265,388.15622
Africa,,1981,1282.7428,1786.5077,460.98764
Africa,,1982,1373.3988,1814.8057,483.27896
Africa,,1983,1357.6967,1836.3589,516.3851
Africa,,1984,1412.2949,1817.969,481.13828
Africa,,1985,1416.65,1812.8654,501.82892
Africa,,1986,1408.8351,1722.141,548.0153
Africa,,1987,1408.5153,1766.0182,549.89856
Africa,,1988,1472.529,1789.5295,592.94904
Africa,,1989,1345.2413,1799.1199,598.02026
Africa,,1990,1375.3315,1780.0607,624.6817
Africa,,1991,1303.3723,1743.2657,613.1459
Africa,,1992,1278.1522,1732.6211,626.95386
Africa,,1993,1264.9296,1706.7244,598.78076
Africa,,1994,1266.0471,1718.7582,611.2313
Africa,,1995,1273.5476,1734.3143,636.78467
Africa,,1996,1259.1172,1728.0862,651.8774
Africa,,1997,1259.8368,1739.336,623.30536
Africa,,1998,1201.4733,1737.8789,640.25085
Africa,,1999,1208.8739,1758.1605,630.73444
Africa,,2000,1176.7845,1719.7312,679.9203
Africa,,2001,1162.5586,1695.7262,756.00146
Africa,,2002,1085.7644,1693.3909,779.25494
Africa,,2003,1152.6593,1701.9529,806.4106
Africa,,2004,1236.9414,1737.3531,865.51917
Africa,,2005,1119.8132,1768.8193,870.81506
Africa,,2006,1107.5466,1740.8624,886.53125
Africa,,2007,1097.4657,1762.3778,922.1196
Africa,,2008,1178.39,1803.548,933.6526
Africa,,2009,1143.7477,1820.6796,915.423
Africa,,2010,1106.0737,1849.8702,930.04974
Africa,,2011,1061.2823,1774.9429,980.5272
Africa,,2012,1008.45184,1841.3318,1032.978
Africa,,2013,992.9583,1861.5714,1026.2018
Africa,,2014,1013.16754,1832.2784,1027.3871
Africa,,2015,935.1959,1833.832,1088.7954
Africa,,2016,967.12036,1803.0881,1096.0585
Africa,,2017,944.13727,1793.0621,1152.3038
Africa,,2018,903.39264,1775.2573,1198.9897
Africa,,2019,931.1402,1728.6422,1187.3976
Africa,,2020,878.3628,1510.4817,1133.144
Africa,,2021,859.5458,1608.9775,1267.2416
Africa,,2022,802.4401,1655.0615,1224.551
Africa,,2023,776.449,1615.1974,1172.4148
Algeria,DZA,1965,65.75259,1244.2393,600.14075
Algeria,DZA,1966,62.698406,1607.2358,611.9881
Algeria,DZA,1967,46.891083,1468.7021,580.6141
Algeria,DZA,1968,48.49147,1528.8707,596.8662
Algeria,DZA,1969,60.343834,1579.2673,767.30194
Algeria,DZA,1970,69.96926,1764.847,705.34467
Algeria,DZA,1971,18.957115,1944.6864,783.08215
Algeria,DZA,1972,16.10831,2086.0066,888.5282
Algeria,DZA,1973,18.090183,2225.03,1207.8057
Algeria,DZA,1974,14.582012,2411.5613,1364.3291
Algeria,DZA,1975,17.75042,2583.876,1811.7994
Algeria,DZA,1976,33.12684,2831.289,2041.6028
Algeria,DZA,1977,41.404335,3081.9358,2095.2983
Algeria,DZA,1978,20.446732,3096.9795,3269.7163
Algeria,DZA,1979,46.09241,3595.458,4487.468
Algeria,DZA,1980,39.719566,3532.7976,5839.9077
Algeria,DZA,1981,27.044617,3685.6887,7351.2935
Algeria,DZA,1982,485.55008,3778.6523,8070.5225
Algeria,DZA,1983,418.92966,4104.6304,8544.341
Algeria,DZA,1984,449.032,4393.9453,7256.925
Algeria,DZA,1985,452.94815,4362.454,6949.2666
Algeria,DZA,1986,449.79886,4283.666,7360.9546
Algeria,DZA,1987,521.6861,4201.6494,7304.621
Algeria,DZA,1988,477.32697,4090.7686,8007.922
Algeria,DZA,1989,392.96988,4175.921,7339.7373
Algeria,DZA,1990,300.3428,4381.6636,7645.5117
Algeria,DZA,1991,302.61072,4233.1133,7373.2754
Algeria,DZA,1992,351.3135,4160.7373,7437.8086
Algeria,DZA,1993,279.7561,4048.898,6527.0747
Algeria,DZA,1994,258.1021,3796.072,6735.466
Algeria,DZA,1995,253.19875,3621.82,7100.958
Algeria,DZA,1996,117.16412,3395.663,7166.1226
Algeria,DZA,1997,202.01363,3312.638,6582.9766
Algeria,DZA,1998,212.97617,3363.7388,6706.2153
Algeria,DZA,1999,224.96509,3259.015,6758.9854
Algeria,DZA,2000,183.28574,3351.218,6206.832
Algeria,DZA,2001,208.737,3422.1782,6324.227
Algeria,DZA,2002,270.29663,3743.8213,6160.971
Algeria,DZA,2003,219.85916,3842.4807,6424.146
Algeria,DZA,2004,258.6417,3960.2,6517.932
Algeria,DZA,2005,209.61511,4072.4167,6783.444
Algeria,DZA,2006,306.79333,4182.6045,6834.0645
Algeria,DZA,2007,259.0617,4601.8936,6879.9414
Algeria,DZA,2008,254.67209,4915.1836,7059.4375
Algeria,DZA,2009,160.59137,5118.031,7447.361
Algeria,DZA,2010,100.54844,5064.9863,7063.526
Algeria,DZA,2011,87.51887,5260.235,7332.8843
Algeria,DZA,2012,91.140854,5485.565,8017.6113
Algeria,DZA,2013,48.35552,5620.3384,8452.89
Algeria,DZA,2014,53.709003,5725.598,9311.576
Algeria,DZA,2015,39.11651,5971.919,9590.157
Algeria,DZA,2016,14.126908,5690.82,9567.8955
Algeria,DZA,2017,51.454483,5482.038,9593.051
Algeria,DZA,2018,138.69342,5432.916,10353.41
Algeria,DZA,2019,112.47274,5548.5127,10550.106
Algeria,DZA,2020,35.062637,4877.268,9976.61
Algeria,DZA,2021,70.288666,5007.1045,10899.758
Algeria,DZA,2022,48.433266,5052.051,11210.496
Algeria,DZA,2023,42.383976,5222.968,10151.243
Argentina,ARG,1965,383.38528,12479.375,1869.7122
Argentina,ARG,1966,311.19852,12671.285,1993.3472
Argentina,ARG,1967,344.5266,12775.62,2052.0903
Argentina,ARG,1968,329.6432,12841.15,2249.8
Argentina,ARG,1969,388.63998,13122.488,2207.0981
Argentina,ARG,1970,491.6619,11677.968,2455.4368
Argentina,ARG,1971,424.28192,12240.286,2609.164
Argentina,ARG,1972,351.4958,11993.199,2881.6074
Argentina,ARG,1973,379.54825,11878.162,3225.654
Argentina,ARG,1974,464.67725,11674.927,3356.5906
Argentina,ARG,1975,444.85757,10853.022,3382.5354
Argentina,ARG,1976,442.8479,11039.656,3747.177
Argentina,ARG,1977,412.0908,11441.949,3851.5889
Argentina,ARG,1978,494.3319,10952.181,3686.3547
Argentina,ARG,1979,453.21967,11593.968,3730.0603
Argentina,ARG,1980,397.6687,10598.399,4001.071
Argentina,ARG,1981,370.9164,9782.691,4115.9453
Argentina,ARG,1982,368.77783,9162.966,4603.13
Argentina,ARG,1983,329.50662,9133.3545,4872.904
Argentina,ARG,1984,240.85461,8563.011,5108.2637
Argentina,ARG,1985,349.97073,7841.8433,5140.7085
Argentina,ARG,1986,393.82132,8122.2524,5471.597
Argentina,ARG,1987,430.53174,8539.722,5392.661
Argentina,ARG,1988,434.58524,8468.091,6204.9414
Argentina,ARG,1989,463.3114,7658.6846,6421.702
Argentina,ARG,1990,375.82758,7046.2485,6045.7847
Argentina,ARG,1991,326.0463,7258.054,6068.988
Argentina,ARG,1992,362.48993,7528.1294,6472.0767
Argentina,ARG,1993,237.16255,7281.8145,6742.0317
Argentina,ARG,1994,204.85283,7582.0625,6837.929
